Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,borderleaf1-DC1,Ethernet3,192.168.103.25/31,spine,spine1-DC1,Ethernet6,192.168.103.24/31
l3leaf,borderleaf1-DC1,Ethernet4,192.168.103.27/31,spine,spine2-DC1,Ethernet6,192.168.103.26/31
l3leaf,borderleaf1-DC1,Ethernet5,192.168.103.29/31,spine,spine3-DC1,Ethernet6,192.168.103.28/31
l3leaf,borderleaf1-DC2,Ethernet3,192.168.203.61/31,spine,spine1-DC2,Ethernet6,192.168.203.60/31
l3leaf,borderleaf1-DC2,Ethernet4,192.168.203.63/31,spine,spine2-DC2,Ethernet6,192.168.203.62/31
l3leaf,borderleaf1-DC2,Ethernet5,192.168.203.65/31,spine,spine3-DC2,Ethernet6,192.168.203.64/31
l3leaf,borderleaf2-DC1,Ethernet3,192.168.103.31/31,spine,spine1-DC1,Ethernet7,192.168.103.30/31
l3leaf,borderleaf2-DC1,Ethernet4,192.168.103.33/31,spine,spine2-DC1,Ethernet7,192.168.103.32/31
l3leaf,borderleaf2-DC1,Ethernet5,192.168.103.35/31,spine,spine3-DC1,Ethernet7,192.168.103.34/31
l3leaf,borderleaf2-DC2,Ethernet3,192.168.203.67/31,spine,spine1-DC2,Ethernet7,192.168.203.66/31
l3leaf,borderleaf2-DC2,Ethernet4,192.168.203.69/31,spine,spine2-DC2,Ethernet7,192.168.203.68/31
l3leaf,borderleaf2-DC2,Ethernet5,192.168.203.71/31,spine,spine3-DC2,Ethernet7,192.168.203.70/31
l3leaf,leaf1-DC1,Ethernet3,192.168.103.1/31,spine,spine1-DC1,Ethernet2,192.168.103.0/31
l3leaf,leaf1-DC1,Ethernet4,192.168.103.3/31,spine,spine2-DC1,Ethernet2,192.168.103.2/31
l3leaf,leaf1-DC1,Ethernet5,192.168.103.5/31,spine,spine3-DC1,Ethernet2,192.168.103.4/31
l3leaf,leaf1-DC2,Ethernet3,192.168.203.37/31,spine,spine1-DC2,Ethernet2,192.168.203.36/31
l3leaf,leaf1-DC2,Ethernet4,192.168.203.39/31,spine,spine2-DC2,Ethernet2,192.168.203.38/31
l3leaf,leaf1-DC2,Ethernet5,192.168.203.41/31,spine,spine3-DC2,Ethernet2,192.168.203.40/31
l3leaf,leaf2-DC1,Ethernet3,192.168.103.7/31,spine,spine1-DC1,Ethernet3,192.168.103.6/31
l3leaf,leaf2-DC1,Ethernet4,192.168.103.9/31,spine,spine2-DC1,Ethernet3,192.168.103.8/31
l3leaf,leaf2-DC1,Ethernet5,192.168.103.11/31,spine,spine3-DC1,Ethernet3,192.168.103.10/31
l3leaf,leaf2-DC2,Ethernet3,192.168.203.43/31,spine,spine1-DC2,Ethernet3,192.168.203.42/31
l3leaf,leaf2-DC2,Ethernet4,192.168.203.45/31,spine,spine2-DC2,Ethernet3,192.168.203.44/31
l3leaf,leaf2-DC2,Ethernet5,192.168.203.47/31,spine,spine3-DC2,Ethernet3,192.168.203.46/31
l3leaf,leaf3-DC1,Ethernet3,192.168.103.13/31,spine,spine1-DC1,Ethernet4,192.168.103.12/31
l3leaf,leaf3-DC1,Ethernet4,192.168.103.15/31,spine,spine2-DC1,Ethernet4,192.168.103.14/31
l3leaf,leaf3-DC1,Ethernet5,192.168.103.17/31,spine,spine3-DC1,Ethernet4,192.168.103.16/31
l3leaf,leaf3-DC2,Ethernet3,192.168.203.49/31,spine,spine1-DC2,Ethernet4,192.168.203.48/31
l3leaf,leaf3-DC2,Ethernet4,192.168.203.51/31,spine,spine2-DC2,Ethernet4,192.168.203.50/31
l3leaf,leaf3-DC2,Ethernet5,192.168.203.53/31,spine,spine3-DC2,Ethernet4,192.168.203.52/31
l3leaf,leaf4-DC1,Ethernet3,192.168.103.19/31,spine,spine1-DC1,Ethernet5,192.168.103.18/31
l3leaf,leaf4-DC1,Ethernet4,192.168.103.21/31,spine,spine2-DC1,Ethernet5,192.168.103.20/31
l3leaf,leaf4-DC1,Ethernet5,192.168.103.23/31,spine,spine3-DC1,Ethernet5,192.168.103.22/31
l3leaf,leaf4-DC2,Ethernet3,192.168.203.55/31,spine,spine1-DC2,Ethernet5,192.168.203.54/31
l3leaf,leaf4-DC2,Ethernet4,192.168.203.57/31,spine,spine2-DC2,Ethernet5,192.168.203.56/31
l3leaf,leaf4-DC2,Ethernet5,192.168.203.59/31,spine,spine3-DC2,Ethernet5,192.168.203.58/31
